Backbone,Config,Attack class,Asset,Impact used,Windows,Detected,Delay (windows)
1D-CNN,B,MITM,N4_sensor,1.000000,194,True,1.000000
1D-CNN,B,Uploading,N3_hmi,1.000000,7478,True,1.000000
1D-CNN,B,Ransomware,N5_plc,1.000000,2136,True,1.000000
1D-CNN,B,SQL_injection,N2_scada,1.000000,10192,True,1.000000
1D-CNN,B,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
1D-CNN,B,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
1D-CNN,B,Password,N3_hmi,1.000000,9982,True,1.000000
1D-CNN,B,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
1D-CNN,B,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
1D-CNN,B,Backdoor,N2_scada,1.000000,4924,True,1.000000
1D-CNN,B,XSS,N1_gateway,1.000000,3134,True,1.000000
1D-CNN,B,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
1D-CNN,B,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
1D-CNN,B,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
1D-CNN,B+K,MITM,N4_sensor,1.000000,194,True,3.000000
1D-CNN,B+K,Uploading,N3_hmi,1.000000,7478,True,3.000000
1D-CNN,B+K,Ransomware,N5_plc,1.000000,2136,True,3.000000
1D-CNN,B+K,SQL_injection,N2_scada,1.000000,10192,True,3.000000
1D-CNN,B+K,DDoS_HTTP,N1_gateway,1.000000,9934,True,3.000000
1D-CNN,B+K,DDoS_TCP,N1_gateway,1.000000,9964,True,3.000000
1D-CNN,B+K,Password,N3_hmi,1.000000,9982,True,3.000000
1D-CNN,B+K,Port_Scanning,N1_gateway,1.000000,4464,True,3.000000
1D-CNN,B+K,Vulnerability_scanner,N1_gateway,1.000000,9973,True,3.000000
1D-CNN,B+K,Backdoor,N2_scada,1.000000,4924,True,3.000000
1D-CNN,B+K,XSS,N1_gateway,1.000000,3134,True,3.000000
1D-CNN,B+K,Fingerprinting,N4_sensor,1.000000,152,True,3.000000
1D-CNN,B+K,DDoS_UDP,N1_gateway,1.000000,24265,True,3.000000
1D-CNN,B+K,DDoS_ICMP,N1_gateway,1.000000,23239,True,3.000000
1D-CNN,B+A,MITM,N4_sensor,0.210000,194,False,
1D-CNN,B+A,Uploading,N3_hmi,0.580000,7478,True,1.000000
1D-CNN,B+A,Ransomware,N5_plc,0.810000,2136,True,1.000000
1D-CNN,B+A,SQL_injection,N2_scada,0.900000,10192,True,1.000000
1D-CNN,B+A,DDoS_HTTP,N1_gateway,0.810000,9934,True,1.000000
1D-CNN,B+A,DDoS_TCP,N1_gateway,0.810000,9964,True,1.000000
1D-CNN,B+A,Password,N3_hmi,0.580000,9982,True,1.000000
1D-CNN,B+A,Port_Scanning,N1_gateway,0.810000,4464,True,1.000000
1D-CNN,B+A,Vulnerability_scanner,N1_gateway,0.810000,9973,True,1.000000
1D-CNN,B+A,Backdoor,N2_scada,0.900000,4924,True,1.000000
1D-CNN,B+A,XSS,N1_gateway,0.810000,3134,True,1.000000
1D-CNN,B+A,Fingerprinting,N4_sensor,0.210000,152,False,
1D-CNN,B+A,DDoS_UDP,N1_gateway,0.810000,24265,True,1.000000
1D-CNN,B+A,DDoS_ICMP,N1_gateway,0.810000,23239,True,1.000000
1D-CNN,B+G,MITM,N4_sensor,1.000000,194,True,1.000000
1D-CNN,B+G,Uploading,N3_hmi,1.000000,7478,True,1.000000
1D-CNN,B+G,Ransomware,N5_plc,1.000000,2136,True,1.000000
1D-CNN,B+G,SQL_injection,N2_scada,1.000000,10192,True,1.000000
1D-CNN,B+G,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
1D-CNN,B+G,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
1D-CNN,B+G,Password,N3_hmi,1.000000,9982,True,1.000000
1D-CNN,B+G,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
1D-CNN,B+G,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
1D-CNN,B+G,Backdoor,N2_scada,1.000000,4924,True,1.000000
1D-CNN,B+G,XSS,N1_gateway,1.000000,3134,True,1.000000
1D-CNN,B+G,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
1D-CNN,B+G,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
1D-CNN,B+G,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
1D-CNN,FULL,MITM,N4_sensor,0.210000,194,False,
1D-CNN,FULL,Uploading,N3_hmi,0.580000,7478,True,3.000000
1D-CNN,FULL,Ransomware,N5_plc,0.810000,2136,True,3.000000
1D-CNN,FULL,SQL_injection,N2_scada,0.900000,10192,True,3.000000
1D-CNN,FULL,DDoS_HTTP,N1_gateway,0.810000,9934,True,3.000000
1D-CNN,FULL,DDoS_TCP,N1_gateway,0.810000,9964,True,3.000000
1D-CNN,FULL,Password,N3_hmi,0.580000,9982,True,3.000000
1D-CNN,FULL,Port_Scanning,N1_gateway,0.810000,4464,True,3.000000
1D-CNN,FULL,Vulnerability_scanner,N1_gateway,0.810000,9973,True,3.000000
1D-CNN,FULL,Backdoor,N2_scada,0.900000,4924,True,3.000000
1D-CNN,FULL,XSS,N1_gateway,0.810000,3134,True,3.000000
1D-CNN,FULL,Fingerprinting,N4_sensor,0.210000,152,False,
1D-CNN,FULL,DDoS_UDP,N1_gateway,0.810000,24265,True,3.000000
1D-CNN,FULL,DDoS_ICMP,N1_gateway,0.810000,23239,True,3.000000
DLinear,B,MITM,N4_sensor,1.000000,194,True,1.000000
DLinear,B,Uploading,N3_hmi,1.000000,7478,True,2.000000
DLinear,B,Ransomware,N5_plc,1.000000,2136,True,1.000000
