Backbone,Config,Detection (%),Detected classes,Attack classes,Delay (windows),False-positive windows,Window FAR (%),False-alert onsets,False alerts/hour,Outbound messages/s,Normal windows,Normal duration (h)
TiDE,B,100.000000,14,14,1.000000,4079,1.262536,366,61.143132,0.016984,323080,5.985954
Vanilla-Transformer,B,100.000000,14,14,1.000000,407,0.125975,23,3.842328,0.001067,323080,5.985954
1D-CNN,B,100.000000,14,14,1.000000,711,0.220069,155,25.893949,0.007193,323080,5.985954
LSTM,B,100.000000,14,14,1.000000,3396,1.051133,40,6.682309,0.001856,323080,5.985954
DLinear,B,100.000000,14,14,1.071429,766,0.237093,191,31.908028,0.008863,323080,5.985954
TiDE,B+K,100.000000,14,14,3.428571,3554,1.100037,81,13.531677,0.003759,323080,5.985954
Vanilla-Transformer,B+K,100.000000,14,14,3.000000,364,0.112666,17,2.839982,0.000789,323080,5.985954
1D-CNN,B+K,100.000000,14,14,3.000000,518,0.160332,28,4.677617,0.001299,323080,5.985954
LSTM,B+K,100.000000,14,14,3.000000,3316,1.026371,40,6.682309,0.001856,323080,5.985954
DLinear,B+K,100.000000,14,14,3.071429,544,0.168379,19,3.174097,0.000882,323080,5.985954
TiDE,B+A,85.714286,12,14,1.166667,4045,1.252012,355,59.305496,0.016474,323080,5.985954
Vanilla-Transformer,B+A,85.714286,12,14,1.000000,377,0.116689,25,4.176443,0.001160,323080,5.985954
1D-CNN,B+A,85.714286,12,14,1.000000,711,0.220069,155,25.893949,0.007193,323080,5.985954
LSTM,B+A,85.714286,12,14,1.000000,3364,1.041228,67,11.192868,0.003109,323080,5.985954
DLinear,B+A,85.714286,12,14,1.083333,753,0.233069,187,31.239797,0.008678,323080,5.985954
TiDE,B+G,100.000000,14,14,1.000000,4079,1.262536,366,61.143132,0.016984,323080,5.985954
Vanilla-Transformer,B+G,100.000000,14,14,1.000000,407,0.125975,23,3.842328,0.001067,323080,5.985954
1D-CNN,B+G,100.000000,14,14,1.000000,711,0.220069,155,25.893949,0.007193,323080,5.985954
LSTM,B+G,100.000000,14,14,1.000000,3396,1.051133,40,6.682309,0.001856,323080,5.985954
DLinear,B+G,100.000000,14,14,1.071429,766,0.237093,191,31.908028,0.008863,323080,5.985954
TiDE,FULL,85.714286,12,14,3.500000,3537,1.094775,77,12.863446,0.003573,323080,5.985954
Vanilla-Transformer,FULL,85.714286,12,14,3.000000,333,0.103070,16,2.672924,0.000742,323080,5.985954
1D-CNN,FULL,85.714286,12,14,3.000000,518,0.160332,28,4.677617,0.001299,323080,5.985954
LSTM,FULL,85.714286,12,14,3.000000,3231,1.000062,63,10.524637,0.002924,323080,5.985954
DLinear,FULL,85.714286,12,14,3.250000,539,0.166832,19,3.174097,0.000882,323080,5.985954
